numRow,LD.50.V,LD.50.M,LD.50.F,Voles500_kg20,Voles250_kg20,Voles250_kg7.5,Voles50_kg7.5
343,2,25,1.5,2,1,2,1
344,3,25,1.5,2,2,2,1
345,7,25,1.5,2,2,2,2
346,1,25,1.5,1,1,1,1
347,1.75,25,1.5,2,1,2,1
348,2.5,25,1.5,2,2,2,1
349,4,25,1.5,2,2,2,2
350,3.5,25,1.5,2,2,2,2
351,0.7,1,1.5,1,1,1,1
352,1.5,1,1.5,1,1,1,1
353,2,1,1.5,1,1,1,1
354,3,1,1.5,1,1,1,1
355,7,1,1.5,2,2,2,2
356,1,1,1.5,1,1,1,1
357,1.75,1,1.5,1,1,1,1
358,2.5,1,1.5,1,1,1,1
359,4,1,1.5,1,1,2,2
360,3.5,1,1.5,1,1,2,2
361,0.7,1.75,1.5,1,1,1,1
362,1.5,1.75,1.5,1,1,1,1
363,2,1.75,1.5,1,1,1,1
364,3,1.75,1.5,1,1,1,1
365,7,1.75,1.5,2,2,2,2
366,1,1.75,1.5,1,1,1,1
367,1.75,1.75,1.5,1,1,3,1
368,2.5,1.75,1.5,1,1,1,1
369,4,1.75,1.5,1,1,2,2
370,3.5,1.75,1.5,1,1,2,2
371,0.7,2.25,1.5,1,1,1,1
372,1.5,2.25,1.5,2,1,3,1
373,2,2.25,1.5,2,1,2,1
374,3,2.25,1.5,2,1,1,1
375,7,2.25,1.5,2,2,2,2
376,1,2.25,1.5,1,1,1,1
377,1.75,2.25,1.5,2,1,2,1
378,2.5,2.25,1.5,2,1,2,1
379,4,2.25,1.5,1,1,2,2
380,3.5,2.25,1.5,1,1,2,2
381,0.7,4,1.5,1,1,1,1
382,1.5,4,1.5,2,1,3,1
383,2,4,1.5,2,1,2,1
384,3,4,1.5,2,2,2,1
385,7,4,1.5,2,2,2,2
386,1,4,1.5,1,1,1,1
387,1.75,4,1.5,2,1,2,1
388,2.5,4,1.5,2,2,2,1
389,4,4,1.5,2,2,2,2
390,3.5,4,1.5,2,2,2,2
391,0.7,3,1.5,1,1,1,1
392,1.5,3,1.5,2,1,3,1
393,2,3,1.5,2,1,2,1
394,3,3,1.5,2,2,2,1
395,7,3,1.5,2,2,2,2
396,1,3,1.5,1,1,1,1
397,1.75,3,1.5,2,1,2,1
398,2.5,3,1.5,2,2,2,1
399,4,3,1.5,2,1,2,2
400,3.5,3,1.5,2,2,2,2
